image_id,references,pred,latency_s,peak_vram_mib
0,"['A gray cat standing on top of a black car.', 'A cat standing on the hood of a car.', 'Grey color cat standing on hood of car in garage', 'A gray cat on the hood of a black car', 'A cat sitting on the hood of a parked black car in a garage.']",A cat stands on the hood of a car in a garage.,8.16981053352356,6516.24169921875
1,"['Horses communing with each other on a shady street.', 'A few horses stand on the street next to a silver car.', 'a couple of horses standing in front of a car ', 'A silver sports car is parked beside horse droppings left by a group of horses.', 'horses stand around on a neighborhood street in front of a car']",Horses on the road next to a car.,2.61143159866333,6524.173828125
2,"['Some very pretty horses with riders in the grass.', 'three men riding horses through a grassy field', 'a couple of people are riding horses outside', 'three horses and three jockeys are racing near a silver car', 'Three jockeys and three horses competing in a race against each other']",Horses racing with jockeys on top.,2.872467279434204,6534.87890625
3,"['a person taking a photo in a bath room mirror', 'A youth on a toilet taking a ""selfie"" in a mirror.', 'Someone sitting on the toilet in the bathroom holding their camera at the mirror. ', 'The person is sitting on the unusual toilet in the bathroom.', 'A picture of the photographer sitting on the toilet ']",A woman in a black jacket and hat is taking a picture of herself in the mirror.,9.56042766571045,6534.89794921875
4,"['A purple and white bus driving down a street.', 'A purple and white city bus pulling up to the curb', 'A purple and white bus in a parking lot.', 'A purple bus with a person on the side driving around a curb.', 'A bus sits diagonal from the curb next to a building and people.']",A purple and white bus with anime characters on the side is parked at a bus stop.,4.885892152786255,6524.17822265625
5,"['A policeman on a motorcycle at night watching pedestrians cross a street', 'a policeman on a motorcycle and some people crossing the street', 'a police on a motorcycle on the side of the road', 'A man in yellow vest riding motorcycle on street.', 'A cop is riding a motorcycle at an intersection in a city at night.']",A police officer on a motorcycle is directing traffic at night.,3.1023104190826416,6534.873046875
6,"['An old motorcycle rests near a rundown building. ', 'A red motorcycle parked by paint chipped doors.', 'An old, dusty motorcycle parked in front of a run down shop', 'A motorcycle just outside a building with green, peeling paint', 'A motorcycle parked in front of green doors. ']",An old motorcycle is parked in front of a weathered door.,3.460874319076538,6561.50537109375
7,"['The television, in a plastic cow, is on.', ""there's a cow that has a Television on its side"", ""A cow sculpture with a TV sticking out of it's center."", 'A television is mounted inside of a cow figurine. ', 'A TV mounted in a cow on a wall.']",A cow with a TV on its back.,2.6878502368927,6534.88720703125
8,"['A pizza sitting on top of a pan in the oven.', 'a cheese pizza on a gray tray and an orange pizza cutter', 'A panned sliced pizza and a bike shaped cutter.', 'The homemade pizza just came out of the oven. ', 'A motorcycle shaped pizza cutter near a cheesy pizza.']",A pizza with a red scooter pizza cutter on top of it.,3.1838150024414062,6524.2177734375
9,"['Two planes in runway and another plane in the sky.', 'A plane is in the sky as several are parked on a runway.', 'Two jumbo jets are driving on the runway of an airport.', 'Planes flying and landing on a runway at an airport.', 'Some parked airplanes and one airplane in the sky']",A plane is taking off from an airport runway with other planes and buildings in the background.,4.757099628448486,6524.1904296875
10,"['A road traveling along a field under a cloudy sky.', 'A paved path stretches through the grass under the cloudy sky.', 'A narrow pathway leads to a residential area.', 'an empty park and bench beneath a partially cloudy sky ', 'A cement walkway is beside a grassy field near a residential area.']",a park with a bench and trash can,2.2860939502716064,6534.84765625
11,"['Three look alike dogs are herding sheep into a pile.', 'Small group of sheep being herded by three border collies.', 'These sheep are being watched by three dogs.', 'A group of sheep in a field with three dogs close by.', 'A group of sheep surrounded by three dogs.']",A group of sheep and a dog stand on a gravel path in a grassy field.,4.20888090133667,6524.14404296875
12,"['A herd of animals traveling down a country road surrounded by a lush green landscape.', 'Jogger running past a flock of sheep in a rural area', 'A man walking beside sheep on a country road.', 'Jogger running past a flock of white sheep.', 'A runner wearing spandex has come across a large herd traveling down the dirt road.']",A shepherd herds a flock of sheep through a grassy field.,8.224652290344238,6534.873046875
13,"['a close up of a giraffes head with a wooden wall in the background', 'A Giraffe looking down in front of a fence.', 'This a close up picture of the giraffes face his eyes are half closed.', 'A giraffe standing next to a  bamboo building.', 'A giraffe is pictured in front of a wooden fence.']",A giraffe with its head tilted to the side.,3.197374105453491,6528.46142578125
14,"['A yellow bus is on a street near a black guard rail.', 'The passenger buses are travelling down the road.', 'City buses on a city street in the dawn hours.', 'A yellow bus driving down a street next to a ball building.', 'a yellow bus and a white bus on a empty road']",A yellow bus is parked at a bus stop in front of a large building.,3.7295491695404053,6524.17431640625
15,"['Various vehicles are driving down a city street. ', 'a couple of buses that are on a empty street', 'A city street lined with very tall buildings.', 'A two way street has minimal cars on it.', 'Buildings on both sides next to a street.']",A city street with cars and buses driving down it.,2.8289408683776855,6524.1591796875
16,"['A photograph of an outside with numerous things in the scene.\n', 'A transit center all lit up at night.', 'A city skyline after the sun has set. ', 'The buses are parked next to the pole.', 'A city road with buses and people on the sidewalk']",A bus is parked at a bus stop in the evening.,3.429940700531006,6524.16455078125
17,"['A couple of double high buses that are in the street.', 'two public transit buses on a city street ', 'A man walking down a street past a double decker bus.', 'a couple of buses that are parked next to each other', 'Two double-decker buses going in opposite directions on a road.']",A man in a suit walks down the street as three double-decker buses pass by.,4.2881879806518555,6528.47216796875
18,"['A vintage red tour bus parked on the side of the street.', 'an image of a tour bus that is parked on the street', 'The tour bus is parked beside the curb of a building.', 'A bus that is parked along side a curb', 'A red bus driving down a street next to a tall building.']","A red bus with the words ""Luxury Travel"" on it is parked on the side of the road.",5.633638143539429,6524.18017578125
19,"['A bus on the street next to the lamp post.  ', 'A city bus stopped at stop waiting for passengers.', 'A city bus 18 parked in a red zone.', 'A bike on lamppost next to a red and white bus.', 'A bus parked on the side of the road next to a bike.']",A white bus with the number 18 on it is parked at a bus stop.,4.204893350601196,6525.42431640625
20,"['The traffic signal is at the intersection near a large building.', 'A street that has traffic lights that are very high up.', 'A few street lights on the side of the road.', 'A stop light in the middle of a small town. ', 'A street light on a street corner with cars driving on it. ']",A traffic light on a pole with three lights.,3.1486899852752686,6534.90087890625
21,"['A white bus driving past a tall building.', 'a black and white bus some bushes and building', 'A white decorated bus is next to a building.', 'a large white bus that is by a building', 'A large bus parked in a parking lot ']",A white bus with the words Divine Transportation on it is parked in a parking lot.,3.944017171859741,6524.17041015625
22,"[""a red and white passenger bus with a 'final destination 5' billboard on the side of it"", 'A parked bus next to a building and palm trees.', 'A red and white bus parked in front of a sidewalk.', 'a city bus sits parked next to a side walk', 'A red and white bus parked by the curb near palm trees.']",A red and white bus is parked on the side of the road.,3.467604875564575,6524.17333984375
23,"['A tree standing in the middle of a grass circle.', 'A red-brick wall with a gray bench in a lush green space.', 'A green yard has a little bench and brick fence.', 'A far away bench covers all the distant serenity of a beautiful flower garden.', 'A tree sitting in the middle of a lush green field.']",A garden with a bench and a tree in the middle.,3.227938413619995,6534.89111328125
