image_id,references,pred,latency_s,peak_vram_mib
0,"['A hefty rugby player in red shirt and black shorts in the air.', 'a guy being held up with a ball in his hands', 'A couple of men are holding up a team member', 'Two men hold up a man holding a soccer ball and all the men have on orange shirts.', 'The team mates are lifting up one of their members.']",A rugby player in a red jersey holds the ball as another player jumps over him.,5.46844482421875,9152.76416015625
1,"['A person holding a sandwich next to a cup of coffee.', 'Someone holding a hotdog in their hand ', 'sandwhich with everything on it and a coke', 'A sandwich is being eaten and sodas are on the table.', 'The diners are enjoying their filled  beef sandwiches,']",A hand holding a sandwich with ketchup and lettuce.,0.9076476097106934,9156.142578125
2,"['A wooden table topped with plates and bows filled with food', 'A wooden dining table adorned with many kinds of food.', ' A array of food consisting of soup, sandwich and dinner rolls', 'Variety of foods displayed on large wooden table.', 'Trays of pastries and sandwiches beside a bowl of soup.']","A table with sandwiches, soup and tea.",0.8996024131774902,9168.54296875
3,"['a shake is sitting next to a cake', 'A piece of cake and a milkshake with two forks.', 'Milkshake in tall glass and piece of cake on plate near forks.', 'a brown table with a chocolate drink and a piece of white cake', 'A large chocolate milkshake and a slice of cake.']",A slice of cake and a glass of chocolate milk.,1.3084828853607178,9196.42236328125
4,"['Two remotes on a mattress with an adjustable sleep number one in the middle', 'Remote controls are arranged on a bare mattress.', 'Three remotes sitting on top of a mattress.', 'A sleep number bed with the comfort remotes.', 'An unmade bed has three remote controls on top of it.  ']",Three remote controls on a Sleep Number mattress.,0.9721810817718506,9178.46142578125
5,"['A bedroom with a bed that has an ornate frame.', 'a fancy bed with a tall head board', 'The bed in the room is clean and ready for its guests. ', 'A wooden bed with white bedding and pillows', 'A bed that has an old fashioned wooden frame.']",A bed with a wooden headboard and two black winged creatures on it.,1.3245890140533447,9176.6328125
6,"['A man opens pizza box and stares at the camera.', 'Man displaying open pizza box with message written on inside.', 'A man is pointing at a pizza box with a some words on the inner side.', 'A boy holding open and gesturing towards a pizza box kid with a message written on it.', 'a kid is showing a pizza with a joke written inside the box cover']",A man holding a pizza box with a note on it.,1.07344651222229,9171.87060546875
7,"['A woman holding a plate of cake covered in frosting.', 'A close up of a person holding a piece of cake.', 'A woman holding a plate with a slice of cake.', 'A woman holding a plate of cake with frosting and icing.', 'A woman is holding a slice of red and white cake']",A woman holds a slice of cake with a red flower on top.,1.1484484672546387,9169.81103515625
8,"['A young girl tries to keep her balance on a surfboard.', 'Young girl in black balances on a pink surfboard.', 'A girl in black wet suit riding on a surfboard.', 'A young girl riding a surfboard in the ocean', 'A person on a surfboard on the water.']",A young girl in a wetsuit surfing on a pink surfboard.,1.3789184093475342,9169.80322265625
9,"['A blurry woman is holding a tennis racquet in the air', 'A woman running across a tennis court in a shirt skirt.', 'a tennis player with a racket on a court ', 'A women looks toward the tennis ball she just hit.  ', 'A girl swinging a tennis racquet on a court.']",A woman in a white tennis outfit swings her racket on a tennis court.,1.2790544033050537,9178.05859375
10,"['Three laptop computers and a desktop computer sit next to each other.', 'Four computers are turned on on a desk.', 'a office with three computers spread out everywhere', 'Four computers and keyboards arranged on a desk.', 'A lot of computers that are on a computer desk.']",A home office with three laptops and a desktop computer.,1.0186748504638672,9170.263671875
11,"['A pair of men with small mustaches dress as tennis players.', 'a couple of men that are standing around with rackets', 'Two men with tennis rackets and tennis balls.', 'Two men wearing polos, headbands and shorts, holding tennis balls and rackets.', 'Two men posing for a picture in a tennis game in a funny way.']","Two men standing side by side, one in a black shirt and the other in a red shirt, both holding tennis rackets.",1.8054320812225342,9175.8828125
12,"['A vase full of white flowers sitting on a wooden table.', 'The table has a flower arrangement in an ornate vase. ', 'a glass vase with some flowers inside of it ', 'A bouquet of flowers on a marble table in the lobby of a business location with an escalator in the background.', 'A vase sitting on top of a table with flowers in it.']",A vase of flowers sits on a table in a lobby.,1.166482925415039,9168.46630859375
13,"['A woman in white dress playing a game of tennis.', 'A woman holding a lemon by her side and a tennis racquet in the other hand.', 'A woman who is holding a tennis racket and scratching her butt.', 'A barefoot woman walking with a tennis racket and her hand on her butt. ', 'A female tennis player lifting up her skirt']",A woman in a white dress and hat is walking barefoot on a patio with tennis balls scattered around her.,1.597050428390503,9168.2978515625
14,"['Two people standing on a tennis court playing tennis', 'Two mean are playing tennis and both are wearing sunglasses.  ', 'Two people playing a game of tennis with rackets.', 'two tennis players on a court with rackets', 'Two men with tennis rackets playing doubles tennis.']",Two men playing tennis on a court with the number 6 in the background.,1.3372397422790527,9179.9736328125
